ranking,municipio,uf,area urbana km²
660,Entre Rios,Bahia,14.8404
661,Ilha Comprida,São Paulo,14.7406
662,Tailândia,Pará,14.7313
663,Cosmópolis,São Paulo,14.7281
664,Jaraguá,Goiás,14.7189
665,Trairi,Ceará,14.7184
666,Taquaritinga,São Paulo,14.6183
667,Niquelândia,Goiás,14.5993
668,Rorainópolis,Roraima,14.5752
669,Dois Vizinhos,Paraná,14.5629
670,Uruaçu,Goiás,14.56
671,Pacatuba,Ceará,14.5373
672,Valença,Rio de Janeiro,14.5034
673,Rio Negro,Paraná,14.4681
674,Cabedelo,Paraíba,14.4364
675,Maranguape,Ceará,14.4167
676,Paranaíba,Mato Grosso do Sul,14.4164
677,Jandira,São Paulo,14.4152
678,Marialva,Paraná,14.4074
679,Euclides da Cunha,Bahia,14.4052
680,Padre Bernardo,Goiás,14.4043
681,Quirinópolis,Goiás,14.3805
682,Cataguases,Minas Gerais,14.3403
683,Castro,Paraná,14.3299
684,Cajazeiras,Paraíba,14.3025
685,Ribeira do Pombal,Bahia,14.2575
686,Guaíra,Paraná,14.2431
687,Poá,São Paulo,14.2376
688,Santo Amaro,Bahia,14.1756
689,Charqueadas,Rio Grande do Sul,14.1712
690,Curitibanos,Santa Catarina,14.1562
691,Carpina,Pernambuco,14.1519
692,Tietê,São Paulo,14.123
693,Normandia,Roraima,14.1138
694,Caicó,Rio Grande do Norte,14.0727
695,Mangaratiba,Rio de Janeiro,14.0575
696,Vera Cruz,Rio Grande do Sul,14.0392
697,Coruripe,Alagoas,13.9594
698,Juara,Mato Grosso,13.9298
699,Santa Cruz do Rio Pardo,São Paulo,13.9249
700,Altos,Piauí,13.9098
701,Buriticupu,Maranhão,13.9002
702,Forquilhinha,Santa Catarina,13.8472
703,Mesquita,Rio de Janeiro,13.8297
704,Iporá,Goiás,13.8055
705,Penha,Santa Catarina,13.7965
706,Pontes e Lacerda,Mato Grosso,13.7594
707,Coxim,Mato Grosso do Sul,13.7201
708,Missão Velha,Ceará,13.6975
709,Marapanim,Pará,13.6576
710,Rosário do Sul,Rio Grande do Sul,13.6271
711,Alenquer,Pará,13.6116
712,Campo Maior,Piauí,13.6061
713,Pedro II,Piauí,13.598
714,Lagoa da Prata,Minas Gerais,13.5953
715,Flores da Cunha,Rio Grande do Sul,13.5315
716,São Miguel do Iguaçu,Paraná,13.5017
717,Itaberaba,Bahia,13.4948
718,Serra Negra,São Paulo,13.4778
719,Iguaba Grande,Rio de Janeiro,13.4596
720,Cerquilho,São Paulo,13.4429
721,Arcoverde,Pernambuco,13.3901
722,São Benedito,Ceará,13.3774
723,Ilhabela,São Paulo,13.3524
724,Maracanã,Pará,13.3398
725,São João Batista,Santa Catarina,13.3096
726,Palmares do Sul,Rio Grande do Sul,13.3069
727,Matozinhos,Minas Gerais,13.3023
728,Manhuaçu,Minas Gerais,13.2801
729,Prado,Bahia,13.2778
730,Chapada dos Guimarães,Mato Grosso,13.2272
731,Marau,Rio Grande do Sul,13.222
732,Miguel Pereira,Rio de Janeiro,13.2092
733,Capão do Leão,Rio Grande do Sul,13.1722
734,Brumado,Bahia,13.1569
735,Carlos Barbosa,Rio Grande do Sul,13.1246
736,Dracena,São Paulo,13.1022
737,Monte Alto,São Paulo,13.0769
738,Santa Helena,Paraná,13.062
739,São Sebastião do Caí,Rio Grande do Sul,12.9991
740,Pimenta Bueno,Rondônia,12.9981
741,Brejo Santo,Ceará,12.9955
742,Paty do Alferes,Rio de Janeiro,12.9836
743,Barras,Piauí,12.9582
744,Confresa,Mato Grosso,12.9542
745,Lapa,Paraná,12.9371
746,Touros,Rio Grande do Norte,12.8813
747,Jacundá,Pará,12.8771
748,Santa Helena de Goiás,Goiás,12.8734
749,Guabiruba,Santa Catarina,12.8528
750,São Joaquim da Barra,São Paulo,12.8499
751,Cornélio Procópio,Paraná,12.8403
752,Nova Andradina,Mato Grosso do Sul,12.8292
753,São Bento do Una,Pernambuco,12.8068
754,Humaitá,Amazonas,12.8043
755,Manicoré,Amazonas,12.8042
756,Rio Pardo,Rio Grande do Sul,12.7926
757,Poxoréu,Mato Grosso,12.7824
758,Pilar do Sul,São Paulo,12.7705
759,Itaqui,Rio Grande do Sul,12.7485
760,Frederico Westphalen,Rio Grande do Sul,12.672
761,Pesqueira,Pernambuco,12.6291
762,Guarantã do Norte,Mato Grosso,12.6253
763,Dom Pedrito,Rio Grande do Sul,12.6066
764,Arcos,Minas Gerais,12.5755
765,Balneário Pinhal,Rio Grande do Sul,12.567
766,Campo Belo,Minas Gerais,12.4911
767,João Pinheiro,Minas Gerais,12.4823
768,Santa Cruz do Capibaribe,Pernambuco,12.4338
769,Adamantina,São Paulo,12.4262
770,Óbidos,Pará,12.4217
771,Agudo,Rio Grande do Sul,12.3981
772,Conceição do Araguaia,Pará,12.3937
773,Jardinópolis,São Paulo,12.3351
774,Barra Bonita,São Paulo,12.2951
775,Coroatá,Maranhão,12.2853
776,Tucano,Bahia,12.2594
777,Piracuruca,Piauí,12.2467
778,Pedreira,São Paulo,12.2109
779,Ilha de Itamaracá,Pernambuco,12.204
780,Novo Horizonte,São Paulo,12.1915
781,Piedade,São Paulo,12.1904
782,Itaberaí,Goiás,12.1715
783,Bela Vista de Goiás,Goiás,12.1672
784,Três Marias,Minas Gerais,12.1671
785,Taquari,Rio Grande do Sul,12.1607
786,Cruz das Almas,Bahia,12.1597
787,Santa Fé do Sul,São Paulo,12.1554
788,Barra dos Coqueiros,Sergipe,12.1415
789,Goiatuba,Goiás,12.135
790,Astorga,Paraná,12.1235
791,São Francisco,Minas Gerais,12.1064
792,Itápolis,São Paulo,12.0937
793,Balneário Piçarras,Santa Catarina,12.0849
794,Balneário Gaivota,Santa Catarina,12.0837
795,Mucuri,Bahia,12.0622
796,Dom Eliseu,Pará,12.011
797,Caeté,Minas Gerais,11.9994
798,Santana do Araguaia,Pará,11.9974
799,Diamantina,Minas Gerais,11.9823
800,Joaçaba,Santa Catarina,11.9758
801,Dois Irmãos,Rio Grande do Sul,11.9733
802,Tucumã,Pará,11.9647
803,São Manuel,São Paulo,11.9394
804,Santa Maria da Boa Vista,Pernambuco,11.9232
805,Ivaiporã,Paraná,11.8925
806,Presidente Dutra,Maranhão,11.8816
807,Quixeramobim,Ceará,11.8676
808,Itamaraju,Bahia,11.839
809,Garça,São Paulo,11.8175
810,Palmeira das Missões,Rio Grande do Sul,11.8147
811,Mariana,Minas Gerais,11.7667
812,São Sebastião,Alagoas,11.7571
813,Conceição do Jacuípe,Bahia,11.745
814,Monte Carmelo,Minas Gerais,11.7387
815,Esperantina,Piauí,11.7198
816,Quatro Barras,Paraná,11.713
817,Candelária,Rio Grande do Sul,11.7049
818,Morada Nova,Ceará,11.6942
819,Cidreira,Rio Grande do Sul,11.6921
820,Tomé-Açu,Pará,11.6915
821,Laranjeiras do Sul,Paraná,11.6866
822,Guaraciaba do Norte,Ceará,11.6804
823,Agudos,São Paulo,11.6345
824,Aparecida do Taboado,Mato Grosso do Sul,11.6338
825,Icó,Ceará,11.6081
826,Campos Novos,Santa Catarina,11.5887
827,Igarapé-Miri,Pará,11.5681
828,Caçapava do Sul,Rio Grande do Sul,11.5355
829,Santo Antônio da Platina,Paraná,11.5258
830,Porto União,Santa Catarina,11.5228
831,São Francisco de Paula,Rio Grande do Sul,11.5119
832,Soledade,Rio Grande do Sul,11.511
833,Nova Mamoré,Rondônia,11.5088
834,Valença,Bahia,11.4996
835,Oeiras,Piauí,11.4993
836,Dois Córregos,São Paulo,11.4736
837,Bayeux,Paraíba,11.4732
838,Morretes,Paraná,11.4278
839,José de Freitas,Piauí,11.4023
840,Várzea da Palma,Minas Gerais,11.3715
841,Barreirinha,Amazonas,11.3448
842,Massaranduba,Santa Catarina,11.336
843,Itapemirim,Espírito Santo,11.3257
844,Zé Doca,Maranhão,11.3096
845,Iturama,Minas Gerais,11.3075
846,Bom Princípio,Rio Grande do Sul,11.3016
847,Itapetinga,Bahia,11.2997
848,Três Passos,Rio Grande do Sul,11.2946
849,Balneário Arroio do Silva,Santa Catarina,11.2847
850,Ponte Nova,Minas Gerais,11.2729
851,Itaitinga,Ceará,11.2691
852,Quixadá,Ceará,11.2674
853,Encantado,Rio Grande do Sul,11.2646
854,Anchieta,Espírito Santo,11.261
855,Colinas do Tocantins,Tocantins,11.232
856,Porangaba,São Paulo,11.2142
857,Canarana,Mato Grosso,11.2121
858,Brotas,São Paulo,11.21
859,Serra do Mel,Rio Grande do Norte,11.1819
860,Nova Prata,Rio Grande do Sul,11.1747
861,Casimiro de Abreu,Rio de Janeiro,11.1319
862,Restinga Sêca,Rio Grande do Sul,11.1172
863,Ituporanga,Santa Catarina,11.085
864,Ivoti,Rio Grande do Sul,11.0673
865,São Lourenço do Sul,Rio Grande do Sul,11.0606
866,Colinas,Maranhão,11.0599
867,Presidente Venceslau,São Paulo,11.0554
868,Imbituva,Paraná,11.0506
869,Igrejinha,Rio Grande do Sul,11.0458
870,Ouro Branco,Minas Gerais,11.0423
871,Santana do Paraíso,Minas Gerais,11.0219
872,Mandaguari,Paraná,10.9846
873,Presidente Figueiredo,Amazonas,10.9785
874,Sidrolândia,Mato Grosso do Sul,10.8802
875,Vargem Grande do Sul,São Paulo,10.8672
876,Tremembé,São Paulo,10.8538
877,Biritiba Mirim,São Paulo,10.8316
878,Poconé,Mato Grosso,10.8288
879,Maracaju,Mato Grosso do Sul,10.8282
880,Augusto Corrêa,Pará,10.8239
881,Pindoretama,Ceará,10.8238
882,Iperó,São Paulo,10.8201
883,São Francisco do Conde,Bahia,10.8199
884,Porto Real,Rio de Janeiro,10.7995
885,Água Boa,Mato Grosso,10.7856
886,Pacaraima,Roraima,10.7802
887,Goioerê,Paraná,10.7794
888,Nova Venécia,Espírito Santo,10.7671
889,Caracaraí,Roraima,10.7505
890,Ourilândia do Norte,Pará,10.7478
891,Tanguá,Rio de Janeiro,10.7171
892,José Bonifácio,São Paulo,10.7124
893,Paraguaçu Paulista,São Paulo,10.6397
894,Bocaiuva,Minas Gerais,10.6312
895,Uruará,Pará,10.6165
896,Três Pontas,Minas Gerais,10.6121
897,Santa Cruz Cabrália,Bahia,10.5742
898,Rio Brilhante,Mato Grosso do Sul,10.5697
899,Amambai,Mato Grosso do Sul,10.5662
900,São Luís de Montes Belos,Goiás,10.5614
901,Orlândia,São Paulo,10.5048
902,Guaíra,São Paulo,10.496
903,Presidente Getúlio,Santa Catarina,10.4911
904,Chapadão do Sul,Mato Grosso do Sul,10.4842
905,Visconde do Rio Branco,Minas Gerais,10.4707
906,Icapuí,Ceará,10.4675
907,Araguatins,Tocantins,10.4419
908,Ituverava,São Paulo,10.4274
909,Vassouras,Rio de Janeiro,10.4269
910,Xaxim,Santa Catarina,10.4238
911,Esplanada,Bahia,10.4236
912,Jacarezinho,Paraná,10.4194
913,Capão Bonito,São Paulo,10.406
914,João Câmara,Rio Grande do Norte,10.4036
915,Itararé,São Paulo,10.4032
916,Feliz,Rio Grande do Sul,10.3956
917,Bombinhas,Santa Catarina,10.3883
918,Marataízes,Espírito Santo,10.3848
919,Batalha,Piauí,10.3649
920,São Lourenço,Minas Gerais,10.3554
921,Aripuanã,Mato Grosso,10.3503
922,Santo Amaro da Imperatriz,Santa Catarina,10.3186
923,Ulianópolis,Pará,10.3149
924,Paraíba do Sul,Rio de Janeiro,10.3099
925,Pires do Rio,Goiás,10.3093
926,Sombrio,Santa Catarina,10.3072
927,Cantá,Roraima,10.3047
928,Leopoldina,Minas Gerais,10.2927
929,Tauá,Ceará,10.2905
930,Tefé,Amazonas,10.2882
931,Arame,Maranhão,10.2591
932,Colíder,Mato Grosso,10.2568
933,Descalvado,São Paulo,10.24
934,Jardim,Mato Grosso do Sul,10.2295
935,Bariri,São Paulo,10.2155
936,Piracaia,São Paulo,10.212
937,Canindé,Ceará,10.1996
938,Maravilha,Santa Catarina,10.1911
939,Posse,Goiás,10.18
940,Santa Rita do Sapucaí,Minas Gerais,10.1748
941,Camocim,Ceará,10.162
942,Bela Vista,Mato Grosso do Sul,10.1619
943,Peixoto de Azevedo,Mato Grosso,10.1363
944,Juruti,Pará,10.1268
945,Diamantino,Mato Grosso,10.1073
946,Casa Branca,São Paulo,10.1031
947,Maués,Amazonas,10.0765
948,Guariba,São Paulo,10.0623
949,Jaguariaíva,Paraná,10.0602
950,União dos Palmares,Alagoas,10.0426
951,Ubajara,Ceará,10.0417
952,Palmeira,Paraná,10.0379
953,Pitanga,Paraná,10.0211
954,Nova Esperança,Paraná,10.0148
955,Ouro Fino,Minas Gerais,10.0131
