ranking,municipio,uf,populacao
166,Ferraz de Vasconcelos,São Paulo,179198
167,Ilhéus,Bahia,178649
168,Bragança Paulista,São Paulo,176811
169,Timon,Maranhão,174465
170,Araguaína,Tocantins,171301
171,Ibirité,Minas Gerais,170537
172,Barra Mansa,Rio de Janeiro,169894
173,Porto Seguro,Bahia,168326
174,Itu,São Paulo,168240
175,Angra dos Reis,Rio de Janeiro,167434
176,Mesquita,Rio de Janeiro,167127
177,Linhares,Espírito Santo,166786
178,São Caetano do Sul,São Paulo,165655
179,Pindamonhangaba,São Paulo,165428
180,Francisco Morato,São Paulo,165139
181,Teresópolis,Rio de Janeiro,165123
182,Lages,Santa Catarina,164981
183,Poços de Caldas,Minas Gerais,163742
184,Parnaíba,Piauí,162159
185,Barreiras,Bahia,159734
186,Patos de Minas,Minas Gerais,159235
187,Jequié,Bahia,158813
188,Atibaia,São Paulo,158647
189,Itapecerica da Serra,São Paulo,158522
190,Abaetetuba,Pará,158188
191,Itapetininga,São Paulo,157790
192,Caxias,Maranhão,156973
193,Rio das Ostras,Rio de Janeiro,156491
194,Senador Canedo,Goiás,155635
195,Santana de Parnaíba,São Paulo,154105
196,Mogi Guaçu,São Paulo,153658
197,Pouso Alegre,Minas Gerais,152217
198,Araucária,Paraná,151666
199,Alagoinhas,Bahia,151055
200,Toledo,Paraná,150470
201,Santa Rita,Paraíba,149910
202,Fazenda Rio Grande,Paraná,148873
203,Camaragibe,Pernambuco,147771
204,Nilópolis,Rio de Janeiro,146774
205,Paranaguá,Paraná,145829
206,Paço do Lumiar,Maranhão,145643
207,Teixeira de Freitas,Bahia,145216
208,Botucatu,São Paulo,145155
209,Franco da Rocha,São Paulo,144849
210,Garanhuns,Pernambuco,142506
211,Trindade,Goiás,142431
212,Brusque,Santa Catarina,141385
213,Queimados,Rio de Janeiro,140523
214,Balneário Camboriú,Santa Catarina,139155
215,Teófilo Otoni,Minas Gerais,137418
216,Varginha,Minas Gerais,136467
217,Campo Largo,Paraná,136327
218,Cachoeirinha,Rio Grande do Sul,136258
219,Caraguatatuba,São Paulo,134873
220,Salto,São Paulo,134319
221,Cametá,Pará,134184
222,Vitória de Santo Antão,Pernambuco,134084
223,Jaú,São Paulo,133497
224,Santa Cruz do Sul,Rio Grande do Sul,133230
225,Três Lagoas,Mato Grosso do Sul,132152
226,Sapucaia do Sul,Rio Grande do Sul,132107
227,Conselheiro Lafaiete,Minas Gerais,131621
228,Itapipoca,Ceará,131123
229,Crato,Ceará,131050
230,Araras,São Paulo,130866
231,Apucarana,Paraná,130134
232,Araruama,Rio de Janeiro,129671
233,Resende,Rio de Janeiro,129612
234,Sabará,Minas Gerais,129380
235,Vespasiano,Minas Gerais,129246
236,Votorantim,São Paulo,127923
237,Pinhais,Paraná,127019
238,Sertãozinho,São Paulo,126887
239,Barcarena,Pará,126650
240,Valinhos,São Paulo,126373
241,Altamira,Pará,126279
242,Barbacena,Minas Gerais,125317
243,Guarapari,Espírito Santo,124656
244,Ji-Paraná,Rondônia,124333
245,Tatuí,São Paulo,123942
246,São Mateus,Espírito Santo,123752
247,Itaituba,Pará,123314
248,Bento Gonçalves,Rio Grande do Sul,123151
249,Bragança,Pará,123082
250,Barretos,São Paulo,122485
251,Itatiba,São Paulo,121590
252,Colatina,Espírito Santo,120033
253,Almirante Tamandaré,Paraná,119825
254,Arapongas,Paraná,119138
255,Birigui,São Paulo,118979
256,Piraquara,Paraná,118730
257,Sarandi,Paraná,118455
258,Jandira,São Paulo,118045
259,Guaratinguetá,São Paulo,118044
260,Bagé,Rio Grande do Sul,117938
261,Araguari,Minas Gerais,117808
262,Uruguaiana,Rio Grande do Sul,117210
263,Umuarama,Paraná,117095
264,Itaguaí,Rio de Janeiro,116841
265,Formosa,Goiás,115901
266,São Gonçalo do Amarante,Rio Grande do Norte,115838
267,Catanduva,São Paulo,115791
268,Várzea Paulista,São Paulo,115771
269,Ribeirão Pires,São Paulo,115559
270,Igarassu,Pernambuco,115196
271,Simões Filho,Bahia,114559
272,Catalão,Goiás,114427
273,Codó,Maranhão,114275
274,Eunápolis,Bahia,113710
275,Itabira,Minas Gerais,113343
276,Paulo Afonso,Bahia,112870
277,Itanhaém,São Paulo,112476
277,Cubatão,São Paulo,112476
279,Passos,Minas Gerais,111939
280,Marituba,Pará,111785
281,Nova Lima,Minas Gerais,111697
282,Araxá,Minas Gerais,111691
283,São Lourenço da Mata,Pernambuco,111249
284,Sorriso,Mato Grosso,110635
285,Paulínia,São Paulo,110537
286,Tubarão,Santa Catarina,110088
287,Itumbiara,Goiás,107970
288,Luís Eduardo Magalhães,Bahia,107909
289,Santana,Amapá,107618
290,Cambé,Paraná,107208
291,Breves,Pará,106968
292,Açailândia,Maranhão,106550
293,Tangará da Serra,Mato Grosso,106434
294,Jataí,Goiás,105729
295,Erechim,Rio Grande do Sul,105705
296,Nova Serrana,Minas Gerais,105552
297,Paragominas,Pará,105550
298,Maranguape,Ceará,105093
299,Planaltina,Goiás,105031
300,Lavras,Minas Gerais,104761
301,Coronel Fabriciano,Minas Gerais,104736
302,Muriaé,Minas Gerais,104108
303,São Pedro da Aldeia,Rio de Janeiro,104029
304,Ourinhos,São Paulo,103970
305,Novo Gama,Goiás,103804
306,Poá,São Paulo,103765
307,Bacabal,Maranhão,103711
308,Itacoatiara,Amazonas,103598
309,Itabaiana,Sergipe,103440
310,Ubá,Minas Gerais,103365
311,Patos,Paraíba,103165
312,Camboriú,Santa Catarina,103074
313,Santo Antônio de Jesus,Bahia,103055
314,Ituiutaba,Minas Gerais,102217
315,Manacapuru,Amazonas,101883
316,Balsas,Maranhão,101767
317,Lagarto,Sergipe,101579
318,Assis,São Paulo,101409
319,Itaperuna,Rio de Janeiro,101041
