municipio,uf,populacao,ranking populacao,area urbana km²,ranking area urbana,habitantes por km²,ranking densidade
Montes Claros,Minas Gerais,414240,58,73.5097,83,5635.174677627579,87
Barra Mansa,Rio de Janeiro,169894,172,30.2485,280,5616.609088053953,88
Nova Serrana,Minas Gerais,105552,296,18.7957,507,5615.7525391445915,89
Camaragibe,Pernambuco,147771,203,26.322,331,5613.973102347846,90
Colatina,Espírito Santo,120033,252,21.4051,435,5607.6822813254785,91
Cariacica,Espírito Santo,353491,74,63.193,101,5593.831595271628,92
Juiz de Fora,Minas Gerais,540756,38,96.6963,48,5592.31325293729,93
Juazeiro do Norte,Ceará,286120,96,51.4431,134,5561.873215261133,94
Serra,Espírito Santo,520653,41,93.6867,51,5557.384345910358,95
Timon,Maranhão,174465,169,31.4837,268,5541.43890330552,96
Cachoeirinha,Rio Grande do Sul,136258,218,24.7179,358,5512.523313064621,97
Suzano,São Paulo,307429,90,56.1162,120,5478.435817108072,98
Patos,Paraíba,103165,311,18.9321,504,5449.210599986267,99
São José dos Campos,São Paulo,697054,30,128.9418,29,5405.958347099234,100
Macapá,Amapá,442933,52,82.2877,66,5382.736423548112,101
Sorocaba,São Paulo,723682,27,134.9586,26,5362.25183130234,102
Curitiba,Paraná,1773718,8,336.5066,4,5270.975368685191,103
Itacoatiara,Amazonas,103598,308,19.8693,480,5213.973315617561,104
Sapucaia do Sul,Rio Grande do Sul,132107,226,25.4238,346,5196.194117323138,105
Itapipoca,Ceará,131123,228,25.4018,348,5161.957026667401,106
Santa Luzia,Minas Gerais,219132,143,42.4958,169,5156.556647951092,107
Governador Valadares,Minas Gerais,257171,111,49.9339,138,5150.228602212124,108
Águas Lindas de Goiás,Goiás,225693,137,43.8678,158,5144.844282138607,109
Macaé,Rio de Janeiro,246391,117,47.9675,148,5136.6237556679,110
Parnamirim,Rio Grande do Norte,252716,115,49.4703,140,5108.438800654129,111
Marituba,Pará,111785,280,21.9357,424,5096.030671462501,112
Campos dos Goytacazes,Rio de Janeiro,483540,42,95.1659,49,5081.021668475789,113
Jequié,Bahia,158813,187,31.2712,271,5078.570697638722,114
Queimados,Rio de Janeiro,140523,213,27.6868,307,5075.451117500036,115
Itaperuna,Rio de Janeiro,101041,319,19.9217,478,5071.9065140023185,116
Ilhéus,Bahia,178649,167,35.3282,220,5056.838446340317,117
Maracanaú,Ceará,234509,128,46.4923,150,5044.039550635266,118
Barreiras,Bahia,159734,185,31.717,263,5036.226629252452,119
Teresina,Piauí,866300,19,172.2605,14,5029.011293941443,120
Sumaré,São Paulo,279545,98,55.6952,121,5019.193754578491,121
Itabaiana,Sergipe,103440,309,20.6268,456,5014.835068939438,122
Votorantim,São Paulo,127923,236,25.5406,345,5008.613736560613,123
Sarandi,Paraná,118455,257,23.6519,379,5008.265720724339,124
Bacabal,Maranhão,103711,307,20.7589,450,4995.977628872435,125
Ubá,Minas Gerais,103365,310,20.7649,449,4977.871311684621,126
Caxias,Maranhão,156973,192,31.699,264,4951.985867062052,127
Florianópolis,Santa Catarina,537211,39,108.7892,37,4938.091281119818,128
Fazenda Rio Grande,Paraná,148873,202,31.0703,273,4791.488978220358,129
Vitória da Conquista,Bahia,370879,68,77.513,74,4784.732883516313,130
Jacareí,São Paulo,240275,122,50.334,137,4773.612270036158,131
Brasília,Distrito Federal,2817381,3,590.2166,3,4773.469604209709,132
Caucaia,Ceará,355679,73,74.5909,77,4768.396681096488,133
Goiânia,Goiás,1437366,10,301.5507,5,4766.581540019638,134
Itajaí,Santa Catarina,264054,109,55.4898,122,4758.604284030578,135
Ribeirão Pires,São Paulo,115559,269,24.6212,360,4693.475541403343,136
Eunápolis,Bahia,113710,274,24.2477,368,4689.51694387509,137
Cachoeiro de Itapemirim,Espírito Santo,185786,162,39.6456,183,4686.169461428254,138
Cabo de Santo Agostinho,Pernambuco,203440,148,43.4664,164,4680.396812250382,139
Ribeirão Preto,São Paulo,698642,29,149.4211,18,4675.6582571002355,140
Canoas,Rio Grande do Sul,347657,79,74.4304,79,4670.900599754938,141
Campinas,São Paulo,1139047,14,245.1428,10,4646.463204303777,142
Santa Bárbara d'Oeste,São Paulo,183347,163,39.614,185,4628.338466198819,143
Rio das Ostras,Rio de Janeiro,156491,193,34.0953,234,4589.811498945603,144
Conselheiro Lafaiete,Minas Gerais,131621,227,28.6898,295,4587.728042719014,145
Teixeira de Freitas,Bahia,145216,207,31.769,262,4570.996883754604,146
Bragança,Pará,123082,249,26.9469,323,4567.575491058341,147
Passos,Minas Gerais,111939,279,24.5124,364,4566.627502814902,148
Linhares,Espírito Santo,166786,177,36.7193,210,4542.188985084139,149
São José de Ribamar,Maranhão,244579,119,54.1242,125,4518.84739173974,150
Arapiraca,Alagoas,234696,127,52.0741,131,4506.962194257798,151
Joinville,Santa Catarina,616317,34,137.5985,25,4479.09679247957,152
Petrolina,Pernambuco,386791,65,86.3902,58,4477.25552203838,153
Betim,Minas Gerais,411846,60,92.0235,53,4475.44377251463,154
Parauapebas,Pará,267836,105,60.3047,110,4441.378532684849,155
Rio Verde,Goiás,225696,136,50.9535,136,4429.450381229945,156
Caxias do Sul,Rio Grande do Sul,463501,48,104.7056,39,4426.70688100732,157
Itabira,Minas Gerais,113343,275,25.6269,342,4422.81352797256,158
Bauru,São Paulo,379146,66,85.7806,61,4419.950431682688,159
Pinhais,Paraná,127019,237,28.7961,294,4410.979264553186,160
Barbacena,Minas Gerais,125317,242,28.6299,297,4377.137188743237,161
Nova Friburgo,Rio de Janeiro,189939,159,43.4263,165,4373.82415725033,162
Alagoinhas,Bahia,151055,199,34.6101,228,4364.477421330767,163
São Leopoldo,Rio Grande do Sul,217409,144,49.9226,139,4354.921418355614,164
Taubaté,São Paulo,310739,89,71.4342,84,4350.003219746283,165
Castanhal,Pará,192256,157,44.2795,157,4341.873779062546,166
Lavras,Minas Gerais,104761,300,24.1512,369,4337.714068038027,167
Patos de Minas,Minas Gerais,159235,186,36.7118,211,4337.433740650145,168
Piraquara,Paraná,118730,256,27.4242,312,4329.38791286528,169
Palhoça,Santa Catarina,222598,141,51.4672,133,4325.045854447104,170
Feira de Santana,Bahia,616272,35,143.1515,20,4305.033478517515,171
Igarassu,Pernambuco,115196,270,26.7834,327,4301.0222749912255,172
Londrina,Paraná,555965,37,129.4435,28,4295.039920892126,173
Santana de Parnaíba,São Paulo,154105,195,35.9344,214,4288.509060955519,174
Franca,São Paulo,352536,75,82.3351,65,4281.721890178065,175
Planaltina,Goiás,105031,299,24.5539,362,4277.568940168365,176
Marabá,Pará,266533,106,62.4909,104,4265.149005695229,177
Cotia,São Paulo,274413,100,64.9582,95,4224.455111133006,178
Imperatriz,Maranhão,273110,102,65.0654,94,4197.469008105691,179
Angra dos Reis,Rio de Janeiro,167434,175,40.0574,175,4179.8519125055545,180
Rio Claro,São Paulo,201418,151,48.2536,146,4174.154881708308,181
Cubatão,São Paulo,112476,277,26.9499,322,4173.521979673394,182
Rio Branco,Acre,364756,70,87.42,56,4172.454815831617,183
Almirante Tamandaré,Paraná,119825,253,28.9641,293,4137.017894566032,184
Jundiaí,São Paulo,443221,51,107.222,38,4133.675924716943,185
Sabará,Minas Gerais,129380,234,31.3095,270,4132.292115811495,186
Uberlândia,Minas Gerais,713224,28,172.8539,13,4126.166664448994,187
Pelotas,Rio Grande do Sul,325685,86,79.3942,71,4102.125847983858,188
Crato,Ceará,131050,229,32.2083,256,4068.826979381091,189
Pindamonhangaba,São Paulo,165428,179,40.7393,173,4060.6490538619955,190
Cuiabá,Mato Grosso,650877,31,160.5942,16,4052.9296823920167,191
Itapetininga,São Paulo,157790,191,38.9853,191,4047.4230030293465,192
Poços de Caldas,Minas Gerais,163742,183,40.5967,174,4033.3820236620218,193
Americana,São Paulo,237240,125,58.9911,115,4021.6236008482633,194
Novo Hamburgo,Rio Grande do Sul,227646,134,56.8507,118,4004.277871688475,195
Colombo,Paraná,232212,130,59.4052,114,3908.9507315857873,196
Varginha,Minas Gerais,136467,216,34.9464,225,3905.037428748026,197
Paulo Afonso,Bahia,112870,276,29.0212,292,3889.22580734084,198
Chapecó,Santa Catarina,254785,114,65.9964,93,3860.589365480542,199
Anápolis,Goiás,398869,62,103.3523,41,3859.3142097466625,200
São José do Rio Preto,São Paulo,480393,45,124.7914,30,3849.5681593443137,201
Porto Seguro,Bahia,168326,173,43.7611,160,3846.4755227816486,202
Salto,São Paulo,134319,220,34.9335,226,3844.9911975610803,203
Mogi Guaçu,São Paulo,153658,196,39.9664,176,3844.6795308058768,204
São Mateus,Espírito Santo,123752,246,32.2182,255,3841.0587804408683,205
Pouso Alegre,Minas Gerais,152217,197,39.6361,184,3840.3626996601583,206
Guarapari,Espírito Santo,124656,243,32.6277,250,3820.557379159426,207
Piracicaba,São Paulo,423323,54,110.835,35,3819.3982045382777,208
Jaú,São Paulo,133497,223,34.9947,223,3814.77766633233,209
Cascavel,Paraná,348051,78,91.2399,55,3814.679761814732,210
Sertãozinho,São Paulo,126887,238,33.3942,239,3799.6717992944887,211
Trindade,Goiás,142431,211,37.5427,202,3793.8400807613725,212
Balsas,Maranhão,101767,316,26.9199,324,3780.363225717778,213
Aparecida de Goiânia,Goiás,527796,40,140.4331,23,3758.3447207246727,214
Paço do Lumiar,Maranhão,145643,206,38.7607,195,3757.491479772037,215
Assis,São Paulo,101409,318,27.0427,320,3749.9583991243476,216
Paranaguá,Paraná,145829,205,39.0004,190,3739.1667777766384,217
Ituiutaba,Minas Gerais,102217,314,27.3399,313,3738.7481300224213,218
Lagarto,Sergipe,101579,317,27.2336,314,3729.914517360907,219
Açailândia,Maranhão,106550,292,28.6321,296,3721.347718120571,220
Presidente Prudente,São Paulo,225668,138,60.8258,108,3710.0703977588455,221
Ponta Grossa,Paraná,358371,72,97.1042,47,3690.581869785241,222
Itaituba,Pará,123314,247,33.422,238,3689.6056489737302,223
Limeira,São Paulo,291869,94,79.256,72,3682.6107802563843,224
Formosa,Goiás,115901,265,31.4867,267,3680.951004709925,225
Blumenau,Santa Catarina,361261,71,98.2463,46,3677.0952188530255,226
São Gonçalo do Amarante,Rio Grande do Norte,115838,266,31.692,265,3655.1180108544745,227
Birigui,São Paulo,118979,255,32.6374,249,3645.4803385073565,228
Maringá,Paraná,409657,61,112.696,34,3635.062468942997,229
Paragominas,Pará,105550,297,29.0748,290,3630.291523931377,230
Cabo Frio,Rio de Janeiro,222161,142,61.4398,106,3615.9134632599716,231
Bento Gonçalves,Rio Grande do Sul,123151,248,34.1507,232,3606.104706492107,232
São José dos Pinhais,Paraná,329628,85,91.4555,54,3604.2446873069416,233
Mossoró,Rio Grande do Norte,264577,108,73.5522,82,3597.1323767338026,234
Simões Filho,Bahia,114559,271,31.8856,261,3592.8130566776226,235
Uruguaiana,Rio Grande do Sul,117210,262,32.6457,248,3590.3656530569115,236
Gravataí,Rio Grande do Sul,265074,107,73.8747,81,3588.156703174429,237
Campo Grande,Mato Grosso do Sul,898100,17,252.6269,9,3555.045009062772,238
Boa Vista,Roraima,413486,59,116.7697,32,3541.0384714527827,239
Magé,Rio de Janeiro,228127,132,64.7222,98,3524.7102230764713,240
Senador Canedo,Goiás,155635,194,44.5436,155,3493.9924029490207,241
Santarém,Pará,331942,82,95.0074,50,3493.854162938887,242
Parnaíba,Piauí,162159,184,46.4331,151,3492.3147496074994,243
Várzea Grande,Mato Grosso,300078,93,86.2432,59,3479.43953842158,244
Araxá,Minas Gerais,111691,282,32.1064,258,3478.7768170831982,245
Passo Fundo,Rio Grande do Sul,206215,147,59.5094,112,3465.2508679301086,246
Araçatuba,São Paulo,200124,152,57.9594,116,3452.8307746457003,247
Indaiatuba,São Paulo,255748,112,74.3594,80,3439.349967858805,248
Marília,São Paulo,237627,124,69.0917,88,3439.298786974412,249
Sete Lagoas,Minas Gerais,227397,135,66.1477,92,3437.715899419027,250
Tangará da Serra,Mato Grosso,106434,293,30.9722,275,3436.4365463221857,251
Uberaba,Minas Gerais,337836,81,98.7215,45,3422.111698059693,252
Caraguatatuba,São Paulo,134873,219,39.4236,188,3421.123388021388,253
Divinópolis,Minas Gerais,231091,131,67.7114,90,3412.881730402857,254
Petrópolis,Rio de Janeiro,278881,99,81.7758,67,3410.3120972219162,255
Barcarena,Pará,126650,239,37.25,204,3400.0,256
Santa Maria,Rio Grande do Sul,271735,103,80.0435,69,3394.8415549045208,257
Araguari,Minas Gerais,117808,261,34.8176,227,3383.576122420845,258
Resende,Rio de Janeiro,129612,233,38.3743,197,3377.5730111037856,259
